page,text,label,suspicious
584,Societies,GPE,False
584,Garden,GPE,False
584,Consumed,GPE,False
585,"w""outt",GPE,False
585,March—1619,GPE,False
586,Septemb,GPE,False
586,Ironn,GPE,False
588,Théer,GPE,False
589,Threré,GPE,False
589,Accompt,GPE,False
590,Marchaunts,GPE,False
591,Sealls,LOC,False
592,Wye.,GPE,True
593,Sheffeild,LOC,False
594,Collony,GPE,False
595,Cause,GPE,False
595,Comissionn,GPE,False
601,Warr,GPE,False
601,Pirates,GPE,False
601,Islands,GPE,False
604,Vse,GPE,True
606,the Cleering of Cap',LOC,False
611,Roberteé,GPE,False
612,Whetcombe,GPE,False
612,Marin,GPE,False
613,8S,GPE,True
615,London Goldsmith,GPE,False
615,the Cape Marchant,LOC,False
615,Nottw''-,GPE,True
616,Deuonsheire,GPE,False
617,Huntington,GPE,False
618,Heeeleoon,GPE,False
619,Oth,GPE,True
620,bett,GPE,False
622,Accompts,GPE,False
624,Solicitinge,LOC,False
625,Haveinge,GPE,False
626,Bagg,GPE,False
626,Wormes,GPE,False
627,Pitts,GPE,False
628,Peace,LOC,False
628,Lawes,GPE,False
628,Thirde,GPE,False
629,Millitary,GPE,False
631,Husbands,GPE,False
631,Cape Codd,LOC,False
632,Seaven,GPE,False
634,Audito,GPE,False
635,Kleaven,GPE,False
635,the North Coast,LOC,False
636,Sprus,GPE,False
636,Mathewe,GPE,False
637,Drinck,GPE,False
643,Seldon,GPE,False
643,Swann,LOC,False
644,Dutie,LOC,False
646,Adwent,LOC,False
649,vo1L,GPE,False
650,Abigall,GPE,False
650,the Southern Collony,LOC,False
652,Stubbs,GPE,False
653,Companys,GPE,False
653,Frigott,GPE,False
654,Poland,GPE,False
654,Sweadland,GPE,False
656,Instrue,GPE,False
656,Virgini,GPE,False
657,Flax,GPE,False
657,Clapbord,GPE,False
658,Children,GPE,False
659,Hartford,GPE,False
662,Sheppand,GPE,False
662,Money,GPE,False
662,Semen,LOC,False
662,North Seas,LOC,False
664,Ionathan,LOC,False
665,Southamptd,GPE,False
665,Silkworme Silk,LOC,False
665,Fraunce,GPE,False
666,Virginnia,GPE,False
666,Apprentiship,GPE,False
666,premises,LOC,False
